id,username,email,created_at
1,dfoard0,hdammarell0@berkeley.edu,11/03/2020
2,shail1,gmaccosty1@google.com.hk,26/06/2020
3,kpoupard2,tdransfield2@netscape.com,24/09/2019
4,gricht3,rdeaguirre3@google.ru,29/03/2020
5,eeastcott4,sbotterman4@answers.com,22/04/2020
6,nbloxholm5,lmalicki5@deliciousdays.com,22/10/2019
7,dthorlby6,bweyland6@princeton.edu,14/11/2019
8,acharsley7,ddjokic7@dell.com,12/10/2019
9,cleblanc8,arubertis8@dailymotion.com,12/11/2019
10,arizzello9,modulchonta9@feedburner.com,07/11/2019
